game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap,turn,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
2,9,F,1,1,49,put,0,0,Z,Y,,monte_carlo,24,1.0,6.4,1.0,1.0,0.0,9,49,1.0,1.0,0.25,0.0,0.75,"put,x=0,y=0,piece_index=1,direction1=Z,direction2=Y",0.5
2,10,F,2,9,547,put,1,0,Z,Y,,monte_carlo,24,1.0,7.1,1.0,1.0,0.0,10,547,1.0,1.0,0.5,0.0,0.5,"put,x=1,y=0,piece_index=4,direction1=Z,direction2=Y",
2,11,G,2,8,560,put,2,2,Y,X,,random,,,,,,,11,560,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=6,direction1=Y,direction2=X",
2,12,F,2,7,361,put,1,1,X,Y,,monte_carlo,24,1.0,7.4,1.0,1.0,0.0,12,361,1.0,1.0,0.75,0.0,0.25,"put,x=1,y=1,piece_index=1,direction1=X,direction2=Y",
2,13,G,2,6,378,put,0,0,Z,X,,random,,,,,,,13,378,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=1,direction1=Z,direction2=X",
2,14,F,2,5,221,put,0,1,Z,X,X,monte_carlo,24,1.0,10.1,1.0,1.0,0.0,14,221,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=1,piece_index=4,direction1=Z,direction2=X,down_direction=X",
2,15,G,2,4,216,put,1,2,Z,Y,Y,random,,,,,,,15,216,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=5,direction1=Z,direction2=Y,down_direction=Y",
2,16,F,2,3,113,put,2,0,Z,X,X,monte_carlo,24,1.0,11.2,1.0,1.0,0.0,16,113,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X,down_direction=X",
2,17,G,2,2,90,put,0,2,Z,Y,Y,random,,,,,,,17,90,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Z,direction2=Y,down_direction=Y",
2,18,F,2,1,25,put,2,1,X,Z,X,monte_carlo,24,1.0,12.1,1.0,1.0,0.0,18,25,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=1,piece_index=1,direction1=X,direction2=Z,down_direction=X",1.0
2,19,G,3,9,312,put,0,1,Z,X,X,random,,,,,,,19,312,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=X,down_direction=X",
2,20,F,3,8,140,put,0,2,Y,X,,monte_carlo,24,1.0,13.6,1.0,1.0,0.0,20,140,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Y,direction2=X",
2,21,G,3,7,180,put,2,2,X,Z,X,random,,,,,,,21,180,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=X,direction2=Z,down_direction=X",
2,22,F,3,6,50,put,0,0,X,Z,,monte_carlo,24,1.0,14.1,1.0,1.0,0.0,22,50,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=0,direction1=X,direction2=Z",
2,23,G,3,5,80,put,1,0,Y,Z,Y,random,,,,,,,23,80,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Y,direction2=Z,down_direction=Y",
2,24,G,3,4,32,put,1,1,X,Y,,random,,,,,,,24,32,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=X,direction2=Y",
3,1,F,1,9,649,put,1,0,Z,X,,monte_carlo,24,0.95,3.9,0.95,0.9,0.04999999999999993,1,649,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=1,direction1=Z,direction2=X",
3,2,G,1,8,577,put,2,1,X,Z,,random,,,,,,,2,577,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=7,direction1=X,direction2=Z",
3,3,F,1,7,463,put,1,2,X,Y,,monte_carlo,24,0.85,3.8,0.85,0.8,0.04999999999999993,3,463,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=6,direction1=X,direction2=Y",
