game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
4,15,2,G,204,0.75,0.25,0.0,0.5,0.75,"put,x=2,y=2,piece_index=2,direction1=Z,direction2=Y,down_direction=Y",
4,16,2,F,97,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=0,direction1=Y,direction2=Z",
4,17,2,G,90,0.5,0.25,0.0,0.25,0.5,"put,x=2,y=1,piece_index=0,direction1=X,direction2=Y",
4,18,2,F,31,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Y,direction2=Z",
4,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=0,direction1=Z,direction2=Y",
4,20,3,F,140,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=X,direction2=Z",
4,21,3,G,180,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=0,direction1=Y,direction2=X",
4,22,3,F,50,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=1,piece_index=0,direction1=X,direction2=Y",
4,23,3,G,84,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=Y,direction2=Z",0.0
4,24,3,G,36,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=0,direction1=Z,direction2=Y",
5,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=4,direction1=Z,direction2=Y",
5,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=5,direction1=X,direction2=Z",
5,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=8,direction1=Z,direction2=X",
5,4,1,G,397,1.0,0.5,0.0,0.5,1.0,"put,x=1,y=1,piece_index=3,direction1=Z,direction2=X",
5,5,1,F,301,1.0,1.0,0.25,0.0,0.75,"put,x=2,y=1,piece_index=8,direction1=Y,direction2=Z",
5,6,1,G,241,0.75,0.75,0.0,0.0,0.75,"put,x=0,y=1,piece_index=6,direction1=Y,direction2=Z",0.5
5,7,1,F,163,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=0,piece_index=0,direction1=Z,direction2=Y",
5,8,1,G,109,0.75,0.5,0.0,0.25,0.75,"put,x=1,y=0,piece_index=7,direction1=Y,direction2=Z",
5,9,1,F,49,1.0,1.0,0.5,0.0,0.5,"put,x=0,y=0,piece_index=7,direction1=Y,direction2=X",
5,10,2,F,547,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=5,direction1=X,direction2=Z",
5,11,2,G,544,0.5,0.25,0.0,0.25,0.5,"put,x=2,y=2,piece_index=1,direction1=Y,direction2=X",
5,12,2,F,349,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=5,direction1=Z,direction2=Y",
5,13,2,G,336,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=0,direction1=Z,direction2=X,down_direction=X",
5,14,2,F,201,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=1,direction1=X,direction2=Y",
5,15,2,G,192,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=2,direction1=X,direction2=Z,down_direction=X",
5,16,2,F,97,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Y,direction2=Z",1.0
5,17,2,G,80,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=4,direction1=X,direction2=Z",
5,18,2,F,31,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=0,direction1=Y,direction2=X",1.0
5,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=Y",
5,20,3,F,136,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=1,direction1=Y,direction2=X",
5,21,3,G,174,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=2,direction1=Z,direction2=X,down_direction=X",
5,22,3,F,50,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=Z,direction2=Y",
5,23,3,G,88,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=1,direction1=Z,direction2=Y",
5,24,3,G,36,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=0,direction1=Z,direction2=X",0.0
6,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=2,direction1=Z,direction2=Y",
6,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=8,direction1=X,direction2=Z",
6,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=7,direction1=Y,direction2=X",
6,4,1,G,397,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X",
6,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=0,direction1=Y,direction2=Z",
6,6,1,G,241,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=9,direction1=X,direction2=Z",
6,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=4,direction1=Y,direction2=Z",
6,8,1,G,109,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=5,direction1=Y,direction2=Z",
6,9,1,F,49,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=3,direction1=X,direction2=Y",
6,10,2,F,547,1.0,1.0,0.25,0.0,0.75,"put,x=2,y=0,piece_index=3,direction1=Y,direction2=Z",
6,11,2,G,544,0.75,0.5,0.0,0.25,0.75,"put,x=0,y=1,piece_index=5,direction1=X,direction2=Z,down_direction=X",
6,12,2,F,361,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=1,piece_index=5,direction1=Z,direction2=Y",
6,13,2,G,364,0.5,0.25,0.0,0.25,0.5,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=Y,down_direction=Y",
6,14,2,F,211,1.0,1.0,0.5,0.0,0.5,"put,x=1,y=1,piece_index=1,direction1=Y,direction2=Z",
6,15,2,G,216,0.5,0.25,0.0,0.25,0.5,"put,x=0,y=0,piece_index=5,direction1=Z,direction2=Y,down_direction=Y",
6,16,2,F,105,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=0,direction1=X,direction2=Z",
6,17,2,G,90,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=4,direction1=Z,direction2=Y",
6,18,2,F,25,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=X,direction2=Z",1.0
6,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=0,piece_index=0,direction1=Y,direction2=Z",
6,20,3,F,136,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=1,piece_index=0,direction1=X,direction2=Y",
6,21,3,G,180,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=0,direction1=Y,direction2=Z",
6,22,3,F,52,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=0,direction1=Z,direction2=Y",
6,23,3,G,84,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=Z,direction2=X,down_direction=X",
6,24,3,G,32,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=X,direction2=Z",
7,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=7,direction1=Y,direction2=Z",
7,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=11,direction1=Y,direction2=Z",
7,3,1,F,463,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=2,piece_index=1,direction1=X,direction2=Y",
7,4,1,G,397,1.0,0.5,0.0,0.5,1.0,"put,x=0,y=0,piece_index=0,direction1=Z,direction2=Y",0.0
7,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=5,direction1=Z,direction2=Y",
7,6,1,G,241,0.5,0.5,0.0,0.0,0.5,"put,x=2,y=1,piece_index=2,direction1=X,direction2=Z",
7,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=8,direction1=X,direction2=Y",
7,8,1,G,109,0.5,0.25,0.0,0.25,0.5,"put,x=1,y=2,piece_index=6,direction1=Z,direction2=X",0.25
7,9,1,F,49,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=6,direction1=Z,direction2=X",
7,10,2,F,547,1.0,1.0,0.75,0.0,0.25,end_phase,1.0
7,11,3,G,624,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=3,direction1=Y,direction2=Z,down_direction=Y",
7,12,3,F,476,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=3,direction1=Y,direction2=X",
7,13,3,G,406,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X",
