game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap
15,5,F,1,5,301,put,0,1,Z,X,,random,,,,,,
15,6,G,1,4,241,put,0,0,Z,Y,,monte_carlo,24,0.75,2.0,0.75,0.7,0.050000000000000044
15,7,F,1,3,163,put,2,1,X,Y,,random,,,,,,
15,8,G,1,2,109,put,1,1,X,Y,,monte_carlo,24,1.0,4.4,1.0,0.9,0.09999999999999998
15,9,F,1,1,49,put,1,0,X,Z,,random,,,,,,
15,10,F,2,9,547,put,0,1,Y,Z,,random,,,,,,
15,11,G,2,8,560,put,2,1,Z,X,,monte_carlo,24,0.95,2.8,0.95,0.85,0.09999999999999998
15,12,F,2,7,373,put,2,0,Y,Z,,random,,,,,,
15,13,G,2,6,364,put,2,2,X,Y,,monte_carlo,24,0.95,4.7,0.95,0.9,0.04999999999999993
15,14,F,2,5,211,put,0,0,Y,X,,random,,,,,,
15,15,G,2,4,192,put,0,2,Z,Y,,monte_carlo,24,1.0,7.0,1.0,1.0,0.0
15,16,F,2,3,89,put,1,1,X,Y,,random,,,,,,
15,17,G,2,2,80,put,1,2,Z,Y,,monte_carlo,24,1.0,11.1,1.0,1.0,0.0
15,18,F,2,1,25,put,1,0,Z,X,,random,,,,,,
15,19,G,3,9,312,put,0,1,Y,Z,,monte_carlo,24,1.0,10.3,1.0,1.0,0.0
15,20,F,3,8,140,put,1,0,Y,Z,Y,random,,,,,,
15,21,G,3,7,186,put,2,2,X,Z,,monte_carlo,24,1.0,11.5,1.0,1.0,0.0
15,22,F,3,6,52,put,0,0,Z,Y,,random,,,,,,
15,23,G,3,5,84,put,1,1,Y,Z,,monte_carlo,24,1.0,11.4,1.0,1.0,0.0
15,24,G,3,4,36,put,2,0,X,Y,,monte_carlo,24,1.0,12.0,1.0,1.0,0.0
16,1,F,1,9,649,put,1,0,X,Z,,random,,,,,,
